"","id","yr","maxr","lat","long","di","row_spacing"
"1","NY1",2021,49,42.58052731,-77.68104317,0,30
"2","NY10",2021,64,42.61583936,-77.56020514,0.5,30
"3","NY11",2021,57,42.49489076,-77.64961534,9.2,30
"4","NY12",2021,54,42.57981318,-77.59731507,0.9,30
"5","NY13",2021,54,43.00387,-73.5729,0,30
"6","NY14",2021,46,43.00202,-73.5756,0,30
"7","NY15",2021,62,42.09513,-73.565,0,7
"8","NY2",2021,49,42.58055279,-77.68024449,0,30
"9","NY3",2021,63,42.60565302,-77.57964639,1.2,30
"10","NY4",2021,44,42.58036781,-77.68581889,1.1,30
"11","NY5",2021,69,42.62617796,-77.55049581,0,30
"12","NY6",2021,62,42.97052673,-75.25887087,1.6,30
"13","NY7",2021,62,42.42885099,-77.66488951,12.5,30
"14","NY8",2021,58,42.45030926,-77.68401223,13.2,30
"15","NY9",2021,61,42.47030347,-77.69325402,23.3,30
"16","PA1",2020,74.2,40.74477,-78.0205,0,30
"17","PA10",2020,63.7,39.9885,-78.1096,0,15
"18","PA11",2020,69.3,41.91168,-77.75899,0,30
"19","PA12",2020,72,40.527653,-78.591453,1.12,15
"20","PA13",2020,48.4,40.177887,-76.368006,0,15
"21","PA14",2020,52,40.183114,-76.342821,2.4,30
"22","PA15",2020,57.8,40.27707,-76.50727,0,15
"23","PA16",2020,55.1,40.39406,-77.27889,0,15
"24","PA17",2020,76,39.956402,-78.964799,0,30
"25","PA18",2020,42.9,41.996115,-80.18918,0.38,15
"26","PA19",2020,48.7,41.92775,-77.24899,0,30
"27","PA2",2020,44.9,41.17806,-77.28681,0,15
"28","PA20",2020,84.7,41.65245,-77.68049,0,30
"29","PA21",2020,47.9,41.275,-78.00685,0,30
"30","PA22",2020,56,40.575894,-78.265293,0,30
"31","PA23",2020,41,40.07549,-78.528044,0,20
"32","PA24",2021,76,40.70188,-78.15929,3.2,30
"33","PA25",2021,34,40.68253,-75.4657,2.9,15
"34","PA26",2021,34,40.69192,-75.4628,0,15
"35","PA27",2021,82,41.06536,-80.2602,0.8,15
"36","PA28",2021,68,40.869425,-77.846697,1.4,30
"37","PA29",2021,77,41.9108,-77.92082,0,30
"38","PA3",2020,60.5,40.55601,-78.92486,8.54,15
"39","PA30",2021,46,40.280327,-76.404794,4.6,15
"40","PA31",2021,74,41.208517,-80.200155,1.8,7.5
"41","PA4",2020,51.9,40.7148,-75.43503,13.25,7.5
"42","PA5",2020,56.2,40.28032,-76.40408,7.45,15
"43","PA6",2020,71.5,41.88849,-80.2675,0,7.5
"44","PA7",2020,57.6,41.22697,-77.10576,0,30
"45","PA8",2020,58.5,40.85221,-77.864551,0,30
"46","PA9",2020,44,39.8683,-77.8596,0,30
