date,PA1,PA2,PA3,PA4,PA5,PA6,PA7,PA8,PA9,PA10,PA11,PA12,PA13,PA14,PA15,PA16,PA17,PA18,PA19,PA20,PA21,PA22,PA23,PA24,PA25,PA26,PA27,PA28,PA29,PA30,PA31,NY1,NY2,NY3,NY4,NY5,NY6,NY7,NY8,NY9,NY10,NY11,NY12,NY13,NY14,NY15
21-Jun-21,,,,,,,,,,,,,,,,,,,,,,,,75,27,30,79,68,,,,,,,,,,,,,,,,,,
22-Jun-21,,,,,,,,,,,,,,,,,,,,,,,,72,27,27,70,62,,,,,,,,,,,,,,,,,,
23-Jun-21,,,,,,,,,,,,,,,,,,,,,,,,73,31,30,80,63,,,,,,,,,,,,,,,,,,
24-Jun-21,,,,,,,,,,,,,,,,,,,,,,,,76,30,30,82,63,,,,,,,,,,,,,,,,,,
25-Jun-21,,,,,,,,,,,,,,,,,,,,,,,,74,30,33,80,65,,,,,,,,,,,,,,,,,,
26-Jun-21,,,,,,,,,,,,,,,,,,,,,,,,72,32,34,77,64,,,,,,,,,,,,,,,,,,
27-Jun-21,,,,,,,,,,,,,,,,,,,,,,,,72,32,32,73,60,,,,,,,,,,,,,,,,,,
28-Jun-21,,,,,,,,,,,,,,,,,,,,,,,,64,32,26,73,56,,46,74,,,,,,,,,,,,,,,
29-Jun-21,,,,,,,,,,,,,48.4,,,,,,,,,,,60,34,25,71,52,,43,69,,,,,,,,,,,,,,,
30-Jun-21,,,,,,,,,,,,,45,,,,,,,,,,,59,30,24,68,43,,39,68,,,,,,,,,,,,,,,
1-Jul-21,,,,51.9,,,,,,61.6,,,42.8,,,,,,,,,,,59,23,18,67,33,,33,68,,,,,,,,,,,,,,,
2-Jul-21,,,,51.3,55.1,,57.6,,43.7,63.7,,,42.9,52,55.2,,,,,,,,,58,22,17,66,38,,33,68,,,,,,,,,,,,,26,,
3-Jul-21,74.2,,,50.5,56.2,70,54.9,,44,61.5,,,40.6,52,57.8,,,,,,,,,51,22,18,68,38,,35,72,,,,,,,,,,,,,29,,
4-Jul-21,73.4,,,48,52.2,68.3,54,,41.1,55.7,,,36.9,50,54.7,,,,,,,,,48,24,19,66,37,,35,70,,,,,,,,,,,,,34,,
5-Jul-21,72.2,,,46.6,50.7,67.3,51.9,58.5,40.5,56.5,,,38.9,50,56,,,,,84.7,,,,49,26,20,67,36,,34,66,,,,,,,,,,,,,38,,
6-Jul-21,69.3,,,47.9,51,69.9,52.3,56.3,42.5,58.4,,,38,47,54.4,,,,,83.9,,,,50,24,21,63,33,,30,60,,,,,,,,,,,,,41,,
7-Jul-21,70.2,,,50.1,48.3,68.7,51.1,52.5,40.6,55.9,,72,35.1,47,52.7,,,,,83.1,,,41,43,23,20,60,33,,28,58,,,,,,,,,,,,,42,,
8-Jul-21,68.9,,,50.3,51.5,67.2,49.3,52.1,39.1,56.3,,,34.1,48,54.3,51.7,,,,83.7,,,36,44,17,18,61,33,,27,57,,,,,,,,,,,,,44,,
9-Jul-21,68.4,44.9,,48.1,54.7,67.3,49.7,47.7,36.8,52.3,,69,35.5,46,55.8,50.9,,,,84.6,,,37,48,17,20,58,35,,30,54,,,,,,,,,,,,,45,,
10-Jul-21,66.8,44.7,,48.4,55.5,70,49.4,46.7,34.1,49,,69,33.9,43,54.5,52.5,,,,82.3,,55,37,47,16,21,55,32,,30,54,,,,,,,,,,,,,50,,
11-Jul-21,66.6,42.1,,47.6,55.8,69.4,47.7,45,34.8,47.9,,70,31.5,43,55.7,55.1,,,,82.3,,56,33,46,17,24,59,32,,31,55,,,,,,,,,,,,,50,,
12-Jul-21,65.5,42,,49.2,53.4,69,47.4,44,33.9,45.5,,70,31.2,40,55.8,54.3,,,,80,,54,33,44,17,25,59,33,,26,58,,,,,,,,,,,,,51,,
13-Jul-21,65.9,40.4,,49.9,50.8,70.3,46.1,44.8,34.2,45.4,,71,31.4,41,54.7,54.8,,,,79.1,,54,36,45,17,25,58,34,,26,57,,,,,,,,,,,,,53,,
14-Jul-21,65.9,41,,48.4,48,71.5,45.4,45.8,37.2,46.6,,72,32.2,38,51,52.9,76,,,77.9,,52,34,40,19,24,59,33,,26,55,,,,,,,,,,,,,54,,62
15-Jul-21,64.7,40.8,,49,45.5,70.2,45.2,43.1,38,46.9,,68,33.4,37,53.2,52,74,,,78.1,,49,35,39,18,23,53,34,,24,54,,,,,,,,,,,,,50,,59
16-Jul-21,61.6,39.4,,48.1,43.6,68.7,44.7,42.7,37.9,44.7,,66,30.1,38,48.8,49.8,73,,,78.7,,49,36,37,18,21,55,33,,25,52,,,,,,,,,,,,,47,40,59
17-Jul-21,58.8,38.4,,45.2,41.4,64.9,45,43.2,35.6,41.1,,65,32,38,47.7,47.5,71,,,78.3,,45,33,36,17,19,53,31,,28,54,,,,,,,,,,,,,,37,59
18-Jul-21,56.2,36.1,,46.2,38.6,64.6,44.5,40.5,33.7,37.9,,63,31.2,35,43.2,43.9,70,42.9,,76,,45,30,36,15,19,53,32,,24,54,,,,,,,,,,,,,,40,56
19-Jul-21,53,31.9,,42.2,36.2,62.7,44.1,38.9,33.2,39.3,69.3,59,30.2,33,40.6,44.2,70,41.5,,72.4,,44,28,39,15,17,52,32,56,26,50,,,,,,,,,,,,,,46,56
20-Jul-21,49.5,29.1,,38.2,35.1,59.1,44.2,35.3,31.8,36.1,65.2,60,29,29,38.5,41.5,66,40.4,,69,,43,26,37,15,17,53,37,57,,52,,,,,,,,,,,,,,41,57
21-Jul-21,45.3,26.7,,39,33.2,57.2,42,33.2,32,33.8,65,61,29,25,35.5,38.5,64,40.1,,68.4,,42,23,37,17,18,53,37,56,,50,,,,,,,,,,,,,,41,54
