field,county,year,row_spacing,21-Jun-21,22-Jun-21,23-Jun-21,24-Jun-21,25-Jun-21,26-Jun-21,27-Jun-21,28-Jun-21,29-Jun-21,30-Jun-21,1-Jul-21,2-Jul-21,3-Jul-21,4-Jul-21,5-Jul-21,6-Jul-21,7-Jul-21,8-Jul-21,9-Jul-21,10-Jul-21,11-Jul-21,12-Jul-21,13-Jul-21,14-Jul-21,15-Jul-21,16-Jul-21,17-Jul-21,18-Jul-21,19-Jul-21,20-Jul-21,21-Jul-21,22-Jul-21,23-Jul-21,24-Jul-21,25-Jul-21,26-Jul-21,27-Jul-21,28-Jul-21,29-Jul-21,30-Jul-21,31-Jul-21,1-Aug-21,2-Aug-21,3-Aug-21,4-Aug-21,5-Aug-21,6-Aug-21,7-Aug-21,8-Aug-21,9-Aug-21,10-Aug-21,11-Aug-21,12-Aug-21,13-Aug-21,14-Aug-21,Low,Average,High
PA1,Centre,2020 ,30 ,,,,,,,,,,,,,74.2,73.4,72.2,69.3,70.2,68.9,68.4,66.8,66.6,65.5,65.9,65.9,64.7,61.6,58.8,56.2,53,49.5,45.3,46.8,45.5,45.9,46.5,44.1,43.2,41.5,38.8,37.2,37.2,37.7,39.9,39.4,38.9,,,,,,,,,,,37,55,74
PA2,Clinton,2020 ,15 ,,,,,,,,,,,,,,,,,,,44.9,44.7,42.1,42,40.4,41,40.8,39.4,38.4,36.1,31.9,29.1,26.7,28,27.5,28.4,29,28.5,27.9,26.1,25.8,22.2,22.3,,,,,,,,,,,,,,,22,33,45
PA3,Indiana,2020 ,15 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.2,55.8,57.5,56.8,54.9,54.1,53.2,53.1,54.3,56.3,57.5,60.5,,,,,,,,,,,53,56,61
PA4,Northampton,2020 ,7.5 ,,,,,,,,,,,51.9,51.3,50.5,48,46.6,47.9,50.1,50.3,48.1,48.4,47.6,49.2,49.9,48.4,49,48.1,45.2,46.2,42.2,38.2,39,38,34.2,36.5,36.5,36,35.3,32.7,31.5,32.2,30,28.4,28.5,27.9,26.9,,,,,,,,,,,27,41,52
PA5,Lebanon,2020 ,15 ,,,,,,,,,,,,55.1,56.2,52.2,50.7,51,48.3,51.5,54.7,55.5,55.8,53.4,50.8,48,45.5,43.6,41.4,38.6,36.2,35.1,33.2,33.1,31.9,30.3,30.4,31.4,29.2,24.5,24.3,22.9,22.7,22.6,22.8,23.4,22.8,,,,,,,,,,,23,39,56
PA6,Erie,2020 ,7.5 ,,,,,,,,,,,,,70,68.3,67.3,69.9,68.7,67.2,67.3,70,69.4,69,70.3,71.5,70.2,68.7,64.9,64.6,62.7,59.1,57.2,56.2,53.5,54.2,55.9,56.9,55.1,50.4,48.3,45.8,44.8,44.3,43.8,42.7,42.8,,,,,,,,,,,43,60,72
PA7,Lycoming,2020 ,30 ,,,,,,,,,,,,57.6,54.9,54,51.9,52.3,51.1,49.3,49.7,49.4,47.7,47.4,46.1,45.4,45.2,44.7,45,44.5,44.1,44.2,42,43.4,43.1,43.9,43.9,39.5,36.9,,,,,,,,,,,,,,,,,,,37,47,58
PA8,Centre,2020 ,30 ,,,,,,,,,,,,,,,58.5,56.3,52.5,52.1,47.7,46.7,45,44,44.8,45.8,43.1,42.7,43.2,40.5,38.9,35.3,33.2,31.6,32.5,32.4,31.2,30.6,29.9,25.6,23,,,,,,,,,,,,,,,,,23,40,59
PA9,Franklin,2020 ,30 ,,,,,,,,,,,,43.7,44,41.1,40.5,42.5,40.6,39.1,36.8,34.1,34.8,33.9,34.2,37.2,38,37.9,35.6,33.7,33.2,31.8,32,30.1,27,25.9,24.4,23.3,20.6,21.1,21.1,20.9,18.7,19.7,20.3,20.3,19.7,19.5,20.6,21.8,23.7,,,,,,,19,30,44
PA10,Fulton,2020 ,15 ,,,,,,,,,,,61.6,63.7,61.5,55.7,56.5,58.4,55.9,56.3,52.3,49,47.9,45.5,45.4,46.6,46.9,44.7,41.1,37.9,39.3,36.1,33.8,32.3,32.6,33.5,34,34.8,33.3,31.6,30.2,31.3,29,30.1,30.0.9,30.7,30,30,30.8,33,35.1,,,,,,,29,42,64
PA11,Potter,2020 ,30 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.3,65.2,65,66.8,65.6,65.4,66,67.1,65.5,62.3,62.4,60.9,60.9,62.6,61.4,58.2,55.2,,,,,,,,,,,55,64,69
PA12,Cambria,2020 ,15 ,,,,,,,,,,,,,,,,,72,,69,69,70,70,71,72,68,66,65,63,59,60,61,60,61,60,63,63,62,59,57,57,55,56,56,53,,,,,,,,,,,,53,63,72
PA13,Lancaster,2020 ,15 ,,,,,,,,,48.4,45,42.8,42.9,40.6,36.9,38.9,38,35.1,34.1,35.5,33.9,31.5,31.2,31.4,32.2,33.4,30.1,32,31.2,30.2,29,29,27.8,25.2,24.9,25.1,25.6,22.8,21.2,19.7,19.8,18.8,18.8,19,19.2,18.8,,,,,,,,,,,19,30,48
PA14,Lancaster,2020 ,30 ,,,,,,,,,,,,52,52,50,50,47,47,48,46,43,43,40,41,38,37,38,38,35,33,29,25,22,21,20,22,24,22,21,20,19,19,19,19,20,19,17,19,19,20,21,22,23,22,23,23,17,30,52
PA15,Lebanon,2020 ,15 ,,,,,,,,,,,,55.2,57.8,54.7,56,54.4,52.7,54.3,55.8,54.5,55.7,55.8,54.7,51,53.2,48.8,47.7,43.2,40.6,38.5,35.5,33.5,31,29.3,28,28.9,26.6,22.6,22,21.7,20.2,21.8,22,22.5,22,22,21.8,21.8,23.3,,,,,,,20,38,58
PA16,Perry,2020 ,15 ,,,,,,,,,,,,,,,,,,51.7,50.9,52.5,55.1,54.3,54.8,52.9,52,49.8,47.5,43.9,44.2,41.5,38.5,37.6,35.1,35.2,34.6,34.9,33.9,,,,,,,,,,,,,,,,,,,34,45,55
PA17,Somerset,2020 ,30 ,,,,,,,,,,,,,,,,,,,,,,,,76,74,73,71,70,70,66,64,61,59,58,58,61,58,56,54,53,53,52,52,50,50,51,51,53,55,56,57,,,,,50,59,76
PA18,,2020 ,15 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9,41.5,40.4,40.1,41.1,38.7,38.5,39,40.2,38.9,38,36.4,36.1,37.9,36.6,34.1,31.6,30.8,,,,,,,,,,,31,38,43
PA19,Potter,2020 ,30 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.3,45.6,48.3,46.3,46.4,48.2,48.7,45.8,45.6,,,,,,,,,,,46,47,49
PA20,Potter,2020 ,30 ,,,,,,,,,,,,,,,84.7,83.9,83.1,83.7,84.6,82.3,82.3,80,79.1,77.9,78.1,78.7,78.3,76,72.4,69,68.4,70,69.8,70.4,70.8,69.4,68.2,65.9,66.2,66.3,66.6,66.6,65.8,61.6,59,,,,,,,,,,,59,74,85
PA21,Potter,2020 ,30 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.9,45.6,45.7,43.1,44.3,43.7,43.3,42.9,43.3,,,,,,,,,,,43,44,48
PA22,Blair,2020 ,30 ,,,,,,,,,,,,,,,,,,,,55,56,54,54,52,49,49,45,45,44,43,42,42,40,44,45,44,39,38,37,37,38,40,38,38,,,,,,,,,,,,37,44,56
PA23,Bedford,2020 ,20 ,,,,,,,,,,,,,,,,,41,36,37,37,33,33,36,34,35,36,33,30,28,26,23,24,24,22,24,25,24,22,24,23,22,22,22,21,,,,,,,,,,,,21,28,41
PA24,Huntingdon,2021,30,75,72,73,76,74,72,72,64,60,59,59,58,51,48,49,50,43,44,48,47,46,44,45,40,39,37,36,36,39,37,37,40,40,37,37,39,39,42,41,43,45,44,,,,,,,,,,,,,,36,49,76
PA25,Northampton,2021,15,27,27,31,30,30,32,32,32,34,30,23,22,22,24,26,24,23,17,17,16,17,17,17,19,18,18,17,15,15,15,17,18,,,,,,,,,,,,,,,,,,,,,,,,15,23,34
PA26,Northampton,2021,15,30,27,30,30,33,34,32,26,25,24,18,17,18,19,20,21,20,18,20,21,24,25,25,24,23,21,19,19,17,17,18,19,,,,,,,,,,,,,,,,,,,,,,,,17,23,34
PA27,Lawrence,2021,15,79,70,80,82,80,77,73,73,71,68,67,66,68,66,67,63,60,61,58,55,59,59,58,59,53,55,53,53,52,53,53,51,55,55,57,57,58,58,61,64,63,64,63,63,64,67,70,71,,,,,,,,51,63,82
PA28,Centre,2021,30,68,62,63,63,65,64,60,56,52,43,33,38,38,37,36,33,33,33,35,32,32,33,34,33,34,33,31,32,32,37,37,40,40,37,37,39,39,42,41,43,,,,,,,,,,,,,,,,31,42,68
PA29,Potter,2021,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,57,56,58,62,65,63,59,59,56,55,55,56,60,64,67,72,73,75,77,75,75,,,,,,55,63,77
PA30,Lebanon,2021,15,,,,,,,,46,43,39,33,33,35,35,34,30,28,27,30,30,31,26,26,26,24,25,28,24,26,,,,,,,,,,,,,,,,,,,,,,,,,,,24,31,46
PA31,Mercer,2021,7.5,,,,,,,,74,69,68,68,68,72,70,66,60,58,57,54,54,55,58,57,55,54,52,54,54,50,52,50,52,55,60,64,60,57,57,59,61,61,61,60,61,62,64,68,67,,,,,,,,50,60,74
NY1,Livingston,2021,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,45,46,43,43,42,40,42,,,,,,,,,,,,,,40,44,49
NY2,Livingston,2021,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,47,46,43,46,44,45,47,,,,,,,,,,,,,,43,46,49
NY3,Livingston,2021,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,57,58,60,62,63,61,63,,,,,,,,,,,,,,57,60,63
NY4,Livingston,2021,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,41,42,40,39,41,43,44,,,,,,,,,,,,,,39,41,44
NY5,Livingston,2021,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,68,66,68,68,66,65,69,,,,,,,,,,,,,,65,67,69
NY6,Oneida,2021,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,56,55,58,57,60,62,62,,,,,,,,,,,,,,55,58,62
NY7,Steuben,2021,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,54,53,50,52,54,58,62,,,,,,,,,,,,,,50,55,62
NY8,Steuben,2021,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,51,52,49,48,51,55,58,,,,,,,,,,,,,,48,52,58
