field,mean_di_5,mean_di10,risk_at_50,risk_at_60,success_at_50_di_5,success_at_60_di_5,success_at_50_di_10,success_at_60_di_10,low,avg,high
PA1,0,0,1,0,0,1,0,1,37,55,74
PA2,0,0,0,0,1,1,1,1,22,33,45
PA3,1,0,1,0,1,0,0,1,53,56,61
PA4,1,1,0,0,0,0,0,0,27,41,52
PA5,1,0,0,0,0,0,1,1,23,39,56
PA6,0,0,1,0,0,1,0,1,43,60,72
PA7,0,0,0,0,1,1,1,1,37,47,58
PA8,0,0,0,0,1,1,1,1,23,40,59
PA9,0,0,0,0,1,1,1,1,19,30,44
PA10,0,0,0,0,1,1,1,1,29,42,64
PA11,0,0,1,1,0,0,0,0,55,64,69
PA12,0,0,1,1,0,0,0,0,53,63,72
PA13,0,0,0,0,1,1,1,1,19,30,48
PA14,0,0,0,0,1,1,1,1,17,30,52
PA15,0,0,0,0,1,1,1,1,20,38,58
PA16,0,0,0,0,1,1,1,1,34,45,55
PA17,0,0,1,0,0,1,0,1,50,59,76
PA18,0,0,0,0,1,1,1,1,31,38,43
PA19,0,0,0,0,1,1,1,1,46,47,49
PA20,0,0,1,1,0,0,0,1,59,74,85
PA21,0,0,0,0,1,1,1,1,43,44,48
PA22,0,0,0,0,1,1,1,1,37,44,56
PA23,0,0,0,0,1,1,1,1,21,28,41
PA24,0,0,0,0,1,1,1,1,36,42,50
PA25,0,0,0,0,1,1,1,1,15,19,26
PA26,0,0,0,0,1,1,1,1,17,20,25
PA27,0,0,1,1,0,0,0,0,52,61,73
PA28,0,0,0,0,1,1,1,1,31,36,64
PA29,0,0,1,1,0,0,0,0,55,63,77
PA30,0,0,0,0,1,1,1,1,24,31,46
PA31,0,0,1,0,0,1,0,1,50,60,74
NY1,0,0,0,0,1,1,1,1,40,44,49
NY2,0,0,0,0,1,1,1,1,43,46,49
NY3,0,0,1,1,0,0,0,0,57,60,63
NY4,0,0,0,0,1,1,1,1,39,41,44
NY5,0,0,1,1,0,0,0,0,65,67,69
NY6,0,0,1,0,0,1,0,1,55,58,62
NY7,1,1,1,0,1,0,1,0,50,55,62
NY8,1,1,1,0,1,0,1,0,48,52,58
NY9,1,1,1,0,1,0,1,0,49,54,61
NY10,0,0,1,1,0,1,0,0,60,62,64
NY11,1,0,1,0,1,0,0,1,52,55,57
NY12,0,0,1,0,0,1,0,1,49,51,54
NY13,0,0,0,0,1,1,1,1,26,44,54
NY14,0,0,0,0,1,1,1,1,33,39,46
NY15,0,0,1,0,0,1,0,1,54,58,62
